;detector;XCoords;YCoords;shift
14200;19;-42.1;-6.248484848484843;0.9309572808936535
14201;19;-41.25252525252525;-6.248484848484843;0.924481513835188
14202;19;-40.405050505050504;-6.248484848484843;0.9137171948342688
14203;19;-39.55757575757576;-6.248484848484843;0.8964730192587266
14204;19;-38.71010101010101;-6.248484848484843;0.8735611878469651
14205;19;-37.862626262626264;-6.248484848484843;0.8449781161128166
14206;19;-37.015151515151516;-6.248484848484843;0.8107208403432639
14207;19;-36.16767676767677;-6.248484848484843;0.770787159023614
14208;19;-35.32020202020202;-6.248484848484843;0.7244429513942873
14209;19;-34.472727272727276;-6.248484848484843;0.6736516280398618
14210;19;-33.62525252525253;-6.248484848484843;0.616446698498719
14211;19;-32.77777777777778;-6.248484848484843;0.553559125376931
14212;19;-31.93030303030303;-6.248484848484843;0.4849888446578231
14213;19;-31.082828282828284;-6.248484848484843;0.4107378583025574
14214;19;-30.235353535353536;-6.248484848484843;0.3308104786501875
14215;19;-29.38787878787879;-6.248484848484843;0.24462599845785107
14216;19;-28.54040404040404;-6.248484848484843;0.15376882849997045
14217;19;-27.692929292929293;-6.248484848484843;0.05667453899414319
14218;19;-26.845454545454547;-6.248484848484843;-0.04605698512188007
14219;19;-25.9979797979798;-6.248484848484843;-0.15440994880842174
14220;19;-25.150505050505053;-6.248484848484843;-0.2683649009153226
14221;19;-24.303030303030305;-6.248484848484843;-0.3878985849957434
14222;19;-23.455555555555556;-6.248484848484843;-0.5135040883644869
14223;19;-22.60808080808081;-6.248484848484843;-0.6437552925489552
14224;19;-21.76060606060606;-6.248484848484843;-0.7800127703715843
14225;19;-20.913131313131313;-6.248484848484843;-0.9217198550272645
14226;19;-20.065656565656568;-6.248484848484843;-1.0688358888690392
14227;19;-19.21818181818182;-6.248484848484843;-1.2213159484714875
14228;19;-18.37070707070707;-6.248484848484843;-1.3791108615547971
14229;19;-17.523232323232325;-6.248484848484843;-1.5424205477035062
14230;19;-16.675757575757576;-6.248484848484843;-1.7105070490228114
14231;19;-15.82828282828283;-6.248484848484843;-1.8839869221394885
14232;19;-14.980808080808082;-6.248484848484843;-2.0625422574543126
14233;19;-14.133333333333333;-6.248484848484843;-2.2461042211838937
14234;19;-13.285858585858588;-6.248484848484843;-2.4345997483639015
14235;19;-12.438383838383839;-6.248484848484843;-2.627951525824194
14236;19;-11.590909090909093;-6.248484848484843;-2.8262301167645334
14237;19;-10.743434343434345;-6.248484848484843;-3.02893961495554
14238;19;-9.895959595959596;-6.248484848484843;-3.2363957067427127
14239;19;-9.048484848484847;-6.248484848484843;-3.44835163577732
14240;19;-8.201010101010105;-6.248484848484843;-3.6647077711535934
14241;19;-7.3535353535353565;-6.248484848484843;-3.88535917876305
14242;19;-6.506060606060608;-6.248484848484843;-4.110195313968684
14243;19;-5.658585858585859;-6.248484848484843;-4.339138462908351
14244;19;-4.81111111111111;-6.248484848484843;-4.571959083966141
14245;19;-3.963636363636361;-6.248484848484843;-4.808628732354688
14246;19;-3.1161616161616195;-6.248484848484843;-5.048971396913788
14247;19;-2.2686868686868706;-6.248484848484843;-5.292841827150009
14248;19;-1.4212121212121218;-6.248484848484843;-5.540086190143421
14249;19;-0.573737373737373;-6.248484848484843;-5.790541508804054
14250;19;0.27373737373737583;-6.248484848484843;-6.044066264925601
14251;19;1.1212121212121176;-6.248484848484843;-6.300390991999954
14252;19;1.9686868686868664;-6.248484848484843;-6.559402427660926
14253;19;2.816161616161615;-6.248484848484843;-6.820864045918276
14254;19;3.663636363636364;-6.248484848484843;-7.084558451406636
14255;19;4.511111111111113;-6.248484848484843;-7.350255789033819
14256;19;5.358585858585862;-6.248484848484843;-7.617713390609932
14257;19;6.206060606060603;-6.248484848484843;-7.886473104191823
14258;19;7.053535353535352;-6.248484848484843;-8.156804942021118
14259;19;7.901010101010101;-6.248484848484843;-8.427879686415958
14260;19;8.74848484848485;-6.248484848484843;-8.699602284296862
14261;19;9.595959595959599;-6.248484848484843;-8.971661829786088
14262;19;10.44343434343434;-6.248484848484843;-9.2437342125274
14263;19;11.29090909090909;-6.248484848484843;-9.515482497260518
14264;19;12.138383838383838;-6.248484848484843;-9.78632806058973
14265;19;12.985858585858587;-6.248484848484843;-10.056521373235581
14266;19;13.833333333333336;-6.248484848484843;-10.325071475362824
14267;19;14.680808080808077;-6.248484848484843;-10.591824097114051
14268;19;15.528282828282826;-6.248484848484843;-10.85638635449205
14269;19;16.375757575757575;-6.248484848484843;-11.118357245490905
14270;19;17.223232323232324;-6.248484848484843;-11.377328878624777
14271;19;18.070707070707073;-6.248484848484843;-11.632431925786646
14272;19;18.918181818181814;-6.248484848484843;-11.884467271673612
14273;19;19.765656565656563;-6.248484848484843;-12.131787644228455
14274;19;20.613131313131312;-6.248484848484843;-12.374424300290489
14275;19;21.46060606060606;-6.248484848484843;-12.611952822470537
14276;19;22.30808080808081;-6.248484848484843;-12.843950585454875
